Image,Input Size (MB),Output Size (MB),Execution Time (s),Input Format,Output Format,Priority,Preserve Meta Data?,Quality
test3.png,4.658415,10.083612,4.24,png,jpg,conversion-speed,False,100
test3.png,4.658415,10.083612,3.84,png,jpg,conversion-speed,True,100
test3.png,4.658415,10.076672,8.149,png,jpg,compression-ratio,False,100
test3.png,4.658415,8.326165,8.181,png,jpg,compression-ratio,True,100
test3.png,4.658415,2.308054,4.92,png,jpg,conversion-speed,False,50
test3.png,4.658415,2.308054,4.288,png,jpg,conversion-speed,True,50
test3.png,4.658415,2.301114,6.92,png,jpg,compression-ratio,False,50
test3.png,4.658415,2.449128,7.105,png,jpg,compression-ratio,True,50
test3.png,4.658415,1.170206,4.153,png,jpg,conversion-speed,False,20
test3.png,4.658415,1.170206,4.377,png,jpg,conversion-speed,True,20
test3.png,4.658415,1.163266,7.717,png,jpg,compression-ratio,False,20
test3.png,4.658415,1.15812,7.292,png,jpg,compression-ratio,True,20
test4.jpg,1.870414,3.861516,2.227,jpg,jpg,conversion-speed,False,100
test4.jpg,1.870414,3.861516,2.488,jpg,jpg,conversion-speed,True,100
test4.jpg,1.870414,3.854576,4.778,jpg,jpg,compression-ratio,False,100
test4.jpg,1.870414,3.000592,4.159,jpg,jpg,compression-ratio,True,100
test4.jpg,1.870414,0.95639,2.044,jpg,jpg,conversion-speed,False,50
test4.jpg,1.870414,0.95639,2.737,jpg,jpg,conversion-speed,True,50
test4.jpg,1.870414,0.94945,4.029,jpg,jpg,compression-ratio,False,50
test4.jpg,1.870414,1.011466,5.241,jpg,jpg,compression-ratio,True,50
test4.jpg,1.870414,0.51248,2.968,jpg,jpg,conversion-speed,False,20
test4.jpg,1.870414,0.51248,2.872,jpg,jpg,conversion-speed,True,20
test4.jpg,1.870414,0.50554,4.358,jpg,jpg,compression-ratio,False,20
test4.jpg,1.870414,0.508794,4.301,jpg,jpg,compression-ratio,True,20
test1.jpg,4.24843,9.979381,5.821,jpg,jpg,conversion-speed,False,100
test1.jpg,4.24843,9.979381,5.673,jpg,jpg,conversion-speed,True,100
test1.jpg,4.24843,9.972441,10.077,jpg,jpg,compression-ratio,False,100
test1.jpg,4.24843,7.768046,9.123,jpg,jpg,compression-ratio,True,100
test1.jpg,4.24843,1.408078,5.23,jpg,jpg,conversion-speed,False,50
test1.jpg,4.24843,1.408078,5.037,jpg,jpg,conversion-speed,True,50
test1.jpg,4.24843,1.401138,9.966,jpg,jpg,compression-ratio,False,50
test1.jpg,4.24843,1.926209,9.248,jpg,jpg,compression-ratio,True,50
test1.jpg,4.24843,0.330097,4.905,jpg,jpg,conversion-speed,False,20
test1.jpg,4.24843,0.330097,4.886,jpg,jpg,conversion-speed,True,20
test1.jpg,4.24843,0.323157,9.97,jpg,jpg,compression-ratio,False,20
test1.jpg,4.24843,0.323544,11.774,jpg,jpg,compression-ratio,True,20
test2.jpg,1.154585,2.646852,1.992,jpg,jpg,conversion-speed,False,100
test2.jpg,1.154585,2.646852,3.928,jpg,jpg,conversion-speed,True,100
test2.jpg,1.154585,2.639854,3.377,jpg,jpg,compression-ratio,False,100
test2.jpg,1.154585,2.153614,2.752,jpg,jpg,compression-ratio,True,100
test2.jpg,1.154585,0.52901,3.19,jpg,jpg,conversion-speed,False,50
test2.jpg,1.154585,0.52901,1.602,jpg,jpg,conversion-speed,True,50
test2.jpg,1.154585,0.522073,3.563,jpg,jpg,compression-ratio,False,50
test2.jpg,1.154585,0.597643,2.851,jpg,jpg,compression-ratio,True,50
test2.jpg,1.154585,0.273789,1.545,jpg,jpg,conversion-speed,False,20
test2.jpg,1.154585,0.273789,3.796,jpg,jpg,conversion-speed,True,20
test2.jpg,1.154585,0.266872,3.336,jpg,jpg,compression-ratio,False,20
test2.jpg,1.154585,0.271485,3.075,jpg,jpg,compression-ratio,True,20

