Image,Input Size (MB),Output Size (MB),Execution Time (s),Input Format,Output Format,Quality
test1.jpg,4.24843,0.446287,2.334,jpg,jpg,25
test1.jpg,4.24843,1.408078,2.696,jpg,jpg,50
test1.jpg,4.24843,3.128463,2.453,jpg,jpg,75
test1.jpg,4.24843,9.979381,2.805,jpg,jpg,100
test10.jpg,4.343391,0.966172,1.519,jpg,jpg,25
test10.jpg,4.343391,1.919865,1.584,jpg,jpg,50
test10.jpg,4.343391,3.276821,1.568,jpg,jpg,75
test10.jpg,4.343391,8.794522,1.899,jpg,jpg,100
test5.jpg,2.005406,0.440827,2.778,jpg,jpg,25
test5.jpg,2.005406,0.579067,3.836,jpg,jpg,50
test5.jpg,2.005406,1.345604,4.663,jpg,jpg,75
test5.jpg,2.005406,6.997783,4.882,jpg,jpg,100
test2.jpg,1.154585,0.325166,1.136,jpg,jpg,25
test2.jpg,1.154585,0.52901,1.518,jpg,jpg,50
test2.jpg,1.154585,0.88029,1.132,jpg,jpg,75
test2.jpg,1.154585,2.646852,0.973,jpg,jpg,100
test3.png,4.658415,1.402107,1.961,png,jpg,25
test3.png,4.658415,2.308054,1.88,png,jpg,50
test3.png,4.658415,3.587967,1.863,png,jpg,75
test3.png,4.658415,10.083612,2.231,png,jpg,100
test6.jpg,1.281342,0.296578,1.925,jpg,jpg,25
test6.jpg,1.281342,0.425981,1.777,jpg,jpg,50
test6.jpg,1.281342,0.851244,1.895,jpg,jpg,75
test6.jpg,1.281342,4.141802,2.034,jpg,jpg,100
test8.jpg,2.864694,0.668187,1.702,jpg,jpg,25
test8.jpg,2.864694,1.249337,2.335,jpg,jpg,50
test8.jpg,2.864694,2.241067,1.694,jpg,jpg,75
test8.jpg,2.864694,6.347826,1.768,jpg,jpg,100
test4.png,10.232963,0.602084,2.01,png,jpg,25
test4.png,10.232963,0.951177,1.783,png,jpg,50
test4.png,10.232963,1.450681,3.211,png,jpg,75
test4.png,10.232963,3.807877,9.222,png,jpg,100
test7.jpg,10.778607,2.281795,3.21,jpg,jpg,25
test7.jpg,10.778607,4.496602,3.675,jpg,jpg,50
test7.jpg,10.778607,7.833338,4.957,jpg,jpg,75
test7.jpg,10.778607,21.686543,3.762,jpg,jpg,100
test9.jpg,2.717291,1.018394,1.605,jpg,jpg,25
test9.jpg,2.717291,1.74518,1.931,jpg,jpg,50
test9.jpg,2.717291,2.279346,1.671,jpg,jpg,75
test9.jpg,2.717291,6.752856,1.792,jpg,jpg,100
